,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
649,1_63,Real,63.638454357221846,"[0.4368093940114857, 0.0715226926404066, 0.10417855926705687, 0.6119831709388275, 0]","[Client id: 1, ( id: 7, corrupt: False ), ( id: 72, corrupt: False ), ( id: 141, corrupt: False ), Client id: 5]"
650,6_69,Real,63.87382009245662,"[0.3253873462602865, 1.0556812126332975, 0.08028191053026522, 0.15814839753726642, 0]","[Client id: 6, ( id: 19, corrupt: False ), ( id: 87, corrupt: False ), ( id: 126, corrupt: False ), Client id: 1]"
651,1_64,Real,63.98977984134965,"[0.35132548412780845, 0.06541368152721293, 0.4844908376601892, 0.5668368836709562, 0]","[Client id: 1, ( id: 3, corrupt: False ), ( id: 59, corrupt: False ), ( id: 128, corrupt: False ), Client id: 6]"
652,4_71,Real,64.01751156712974,"[1.8017558726103782, 0.033638243637139735, 0.153523035113732, 0.02121951619221613, 0]","[Client id: 4, ( id: 45, corrupt: False ), ( id: 86, corrupt: False ), ( id: 130, corrupt: False ), Client id: 8]"
653,3_83,Real,64.09346648448656,"[0.591318473723677, 0.22552220317549465, 0.07258882148773013, 0.7072215736077332, 0]","[Client id: 3, ( id: 21, corrupt: False ), ( id: 98, corrupt: False ), ( id: 144, corrupt: False ), Client id: 6]"
654,7_59,Real,64.12387061526114,"[0.9397768994866209, 0.4353386446945329, 0.23989278457150287, 0.040483857318338125, 0]","[Client id: 7, ( id: 4, corrupt: False ), ( id: 97, corrupt: False ), ( id: 139, corrupt: False ), Client id: 6]"
655,2_56,Real,64.15303896688569,"[0.9605182096114168, 0.4108717525841979, 0.3502971752834979, 1.1448821861905574, 0]","[Client id: 2, ( id: 36, corrupt: False ), ( id: 71, corrupt: False ), ( id: 102, corrupt: False ), Client id: 6]"
656,5_82,Real,64.1879680189472,"[0.896400460700122, 0.6868045152367391, 0.028658018125381185, 0.16276028168655116, 0]","[Client id: 5, ( id: 48, corrupt: False ), ( id: 98, corrupt: False ), ( id: 150, corrupt: False ), Client id: 7]"
657,7_60,Real,64.23185720396536,"[0.10798658870422365, 0.09829824089564207, 0.7176693831816942, 0.22046589797762076, 0]","[Client id: 7, ( id: 10, corrupt: False ), ( id: 75, corrupt: False ), ( id: 149, corrupt: False ), Client id: 2]"
658,0_63,Real,64.24501327278901,"[2.081104923482401, 0.36054332320987825, 0.3169190458559553, 0.674496531664664, 0]","[Client id: 0, ( id: 36, corrupt: False ), ( id: 88, corrupt: False ), ( id: 136, corrupt: False ), Client id: 3]"
659,2_57,Real,64.45286280068967,"[0.2998238338039804, 0.17124983735454616, 0.01401892601876235, 0.010519679225258774, 0]","[Client id: 2, ( id: 17, corrupt: False ), ( id: 84, corrupt: False ), ( id: 104, corrupt: False ), Client id: 1]"
660,1_65,Real,64.55546194428224,"[0.5656821029325945, 0.3024127602480425, 0.44255690183934976, 0.37907814491195363, 0]","[Client id: 1, ( id: 30, corrupt: False ), ( id: 78, corrupt: False ), ( id: 123, corrupt: False ), Client id: 3]"
661,0_64,Real,65.10140155282747,"[0.8563882800384596, 0.1594638426608855, 1.398671263233655, 0.0382746412582281, 0]","[Client id: 0, ( id: 36, corrupt: False ), ( id: 60, corrupt: False ), ( id: 123, corrupt: False ), Client id: 1]"
662,7_61,Real,65.29992461506404,"[1.0680674110986834, 0.20533675248293382, 0.18861167745956353, 0.17005299754672598, 0]","[Client id: 7, ( id: 49, corrupt: False ), ( id: 97, corrupt: False ), ( id: 106, corrupt: False ), Client id: 6]"
663,9_57,Real,65.41104572665543,"[2.1580388590898787, 0.6317428852739714, 0.4229708461229238, 0.9766278668124488, 0]","[Client id: 9, ( id: 45, corrupt: False ), ( id: 60, corrupt: False ), ( id: 130, corrupt: False ), Client id: 2]"
664,1_66,Real,65.4260811331181,"[0.8706191888358638, 0.3909995044744497, 0.2536136774238045, 0.011703342981984768, 0]","[Client id: 1, ( id: 5, corrupt: False ), ( id: 86, corrupt: False ), ( id: 125, corrupt: False ), Client id: 8]"
665,1_67,Real,65.43341105225971,"[0.007329919141615424, 0.36103688473702833, 0.1301960770075563, 0.00973562717680626, 0]","[Client id: 1, ( id: 21, corrupt: False ), ( id: 58, corrupt: False ), ( id: 127, corrupt: False ), Client id: 2]"
666,7_62,Real,65.51443976959956,"[0.21451515453552533, 0.18781453220398864, 0.528184197726908, 0.01441497404360288, 0]","[Client id: 7, ( id: 24, corrupt: False ), ( id: 59, corrupt: False ), ( id: 106, corrupt: False ), Client id: 8]"
667,1_68,Real,65.58451625737563,"[0.15110520511590791, 0.026319300879132364, 0.33780835393644015, 0.0323006439330712, 0]","[Client id: 1, ( id: 31, corrupt: False ), ( id: 52, corrupt: False ), ( id: 105, corrupt: False ), Client id: 7]"
668,3_84,Real,65.62811795740747,"[1.5346514729209195, 0.21650267781404242, 0.3235584384680714, 0.1439898708816528, 0]","[Client id: 3, ( id: 5, corrupt: False ), ( id: 56, corrupt: False ), ( id: 122, corrupt: False ), Client id: 1]"
669,4_72,Real,65.63960460079272,"[1.6220930336629806, 0.06470105141187066, 0.21993182484462612, 0.06957139584838153, 0]","[Client id: 4, ( id: 21, corrupt: False ), ( id: 56, corrupt: False ), ( id: 137, corrupt: False ), Client id: 7]"
670,7_63,Real,65.81179029127296,"[0.2973505216733929, 0.13563955385129164, 0.09626791644574735, 0.18575578085668498, 0]","[Client id: 7, ( id: 16, corrupt: False ), ( id: 80, corrupt: False ), ( id: 122, corrupt: False ), Client id: 4]"
671,2_58,Real,65.83467239893494,"[1.3818095982452698, 0.20258185632077205, 0.42688963862520213, 0.0034949668839114475, 0]","[Client id: 2, ( id: 14, corrupt: False ), ( id: 57, corrupt: False ), ( id: 144, corrupt: False ), Client id: 6]"
672,3_85,Real,65.98733186217129,"[0.359213904763826, 0.058236578540549616, 0.2025111547164568, 0.12725965496393862, 0]","[Client id: 3, ( id: 13, corrupt: False ), ( id: 88, corrupt: False ), ( id: 139, corrupt: False ), Client id: 7]"
673,1_69,Real,66.08711200960941,"[0.502595752233793, 0.11133813151321406, 0.07387995972425207, 0.43172264519030923, 0]","[Client id: 1, ( id: 28, corrupt: False ), ( id: 65, corrupt: False ), ( id: 118, corrupt: False ), Client id: 7]"
674,8_56,Real,66.32294954681433,"[3.791279562458048, 0.3624443617311478, 0.2712873176046425, 0.07653709202651489, 0]","[Client id: 8, ( id: 44, corrupt: False ), ( id: 100, corrupt: False ), ( id: 101, corrupt: False ), Client id: 3]"
675,9_58,Real,66.47348768935528,"[1.0624419626998545, 1.0249350820333938, 0.265627786943121, 0.10124118070234395, 0]","[Client id: 9, ( id: 45, corrupt: False ), ( id: 64, corrupt: False ), ( id: 105, corrupt: False ), Client id: 8]"
676,6_70,Real,66.53064271719528,"[2.6568226247386626, 0.15148957797964877, 0.6834976648429136, 0.08521820696137725, 0]","[Client id: 6, ( id: 17, corrupt: False ), ( id: 58, corrupt: False ), ( id: 148, corrupt: False ), Client id: 7]"
677,8_57,Real,66.56104673445513,"[0.2380971876408098, 0.42401699783196256, 0.05716167115041814, 0.4592206192511701, 0]","[Client id: 8, ( id: 26, corrupt: False ), ( id: 86, corrupt: False ), ( id: 147, corrupt: False ), Client id: 5]"
678,7_64,Real,66.65738080144666,"[0.8455905101737026, 0.357156252169516, 0.9676527535417832, 0.4708311025811411, 0]","[Client id: 7, ( id: 20, corrupt: False ), ( id: 77, corrupt: False ), ( id: 104, corrupt: False ), Client id: 3]"
679,3_86,Real,66.66030408716861,"[0.6729722249973272, 0.09316501442965618, 0.167382066150807, 0.16439010769497558, 0]","[Client id: 3, ( id: 16, corrupt: False ), ( id: 81, corrupt: False ), ( id: 142, corrupt: False ), Client id: 0]"
680,0_65,Real,66.6676700370743,"[1.5662684842468284, 0.3037044067975251, 0.11680950689680186, 0.28234983752117765, 0]","[Client id: 0, ( id: 12, corrupt: False ), ( id: 61, corrupt: False ), ( id: 109, corrupt: False ), Client id: 9]"
681,2_59,Real,66.76383192698009,"[0.9291595280451441, 0.017040638652621013, 0.14898736879941624, 0.3218655816785056, 0]","[Client id: 2, ( id: 14, corrupt: False ), ( id: 57, corrupt: False ), ( id: 104, corrupt: False ), Client id: 9]"
682,7_65,Real,66.78332380884243,"[0.12594300739576608, 0.15790716894363002, 0.7476760274516286, 0.34345493716626807, 0]","[Client id: 7, ( id: 6, corrupt: False ), ( id: 54, corrupt: False ), ( id: 140, corrupt: False ), Client id: 9]"
683,4_73,Real,66.8025685556015,"[1.1629639548087702, 0.00335498502441351, 0.025159673362585053, 0.00015923228104237097, 0]","[Client id: 4, ( id: 45, corrupt: False ), ( id: 88, corrupt: False ), ( id: 127, corrupt: False ), Client id: 1]"
684,0_66,Real,66.83479743440583,"[0.16712739733153203, 0.2243265444130433, 0.3860516689558301, 0.07576957207749219, 0]","[Client id: 0, ( id: 26, corrupt: False ), ( id: 77, corrupt: False ), ( id: 140, corrupt: False ), Client id: 8]"
685,1_70,Real,66.91868530006948,"[0.8315732904600716, 0.03662290169114534, 0.1396645775028821, 0.20426976432326513, 0]","[Client id: 1, ( id: 34, corrupt: False ), ( id: 80, corrupt: False ), ( id: 131, corrupt: False ), Client id: 8]"
686,3_87,Real,67.16129372701218,"[0.5009896398435628, 0.06431541611348594, 0.09593843207060228, 0.13148913676225213, 0]","[Client id: 3, ( id: 43, corrupt: False ), ( id: 79, corrupt: False ), ( id: 143, corrupt: False ), Client id: 5]"
687,0_67,Real,67.1719014988053,"[0.33710406439946544, 0.012292597423046, 0.08393513557894698, 0.06186929829706077, 0]","[Client id: 0, ( id: 10, corrupt: False ), ( id: 83, corrupt: False ), ( id: 108, corrupt: False ), Client id: 9]"
688,8_58,Real,67.18049518024164,"[0.619448445786506, 0.07378268676550664, 0.20091616719978422, 0.0396166923673854, 0]","[Client id: 8, ( id: 7, corrupt: False ), ( id: 79, corrupt: False ), ( id: 109, corrupt: False ), Client id: 1]"
689,4_74,Real,67.21658370967657,"[0.41401515407507594, 0.0687727200924296, 0.0781934521497295, 0.08276864323581362, 0]","[Client id: 4, ( id: 26, corrupt: False ), ( id: 64, corrupt: False ), ( id: 148, corrupt: False ), Client id: 0]"
690,8_59,Real,67.29381953616229,"[0.11332435592065947, 0.5552809035059352, 0.4948485547360116, 0.4498516125525382, 0]","[Client id: 8, ( id: 35, corrupt: False ), ( id: 69, corrupt: False ), ( id: 113, corrupt: False ), Client id: 4]"
691,3_88,Real,67.43260425628719,"[0.2713105292750101, 0.852473883302891, 0.22939682311325033, 0.41813129667805304, 0]","[Client id: 3, ( id: 1, corrupt: False ), ( id: 87, corrupt: False ), ( id: 128, corrupt: False ), Client id: 4]"
692,7_66,Real,67.49320509731,"[0.7098812884675703, 0.18964455135775765, 0.26126049429256115, 0.10436863529620334, 0]","[Client id: 7, ( id: 24, corrupt: False ), ( id: 53, corrupt: False ), ( id: 115, corrupt: False ), Client id: 5]"
693,2_60,Real,67.50059697822311,"[0.736765051243023, 0.15789743175228602, 0.05955425803013365, 0.10148824167351113, 0]","[Client id: 2, ( id: 28, corrupt: False ), ( id: 72, corrupt: False ), ( id: 111, corrupt: False ), Client id: 4]"
694,2_61,Real,67.70078670779462,"[0.2001897295715099, 0.5057196299295645, 0.09547427814821902, 0.18111080515269848, 0]","[Client id: 2, ( id: 43, corrupt: False ), ( id: 66, corrupt: False ), ( id: 136, corrupt: False ), Client id: 0]"
695,9_59,Real,67.7047514548541,"[1.2312637654988279, 0.16986258929725256, 0.12828821551029226, 0.22221069408647495, 0]","[Client id: 9, ( id: 15, corrupt: False ), ( id: 73, corrupt: False ), ( id: 136, corrupt: False ), Client id: 6]"
696,1_71,Real,67.74735841533678,"[0.82867311526729, 0.3568439252077093, 0.14088542452408484, 0.2540578520334085, 0]","[Client id: 1, ( id: 12, corrupt: False ), ( id: 55, corrupt: False ), ( id: 141, corrupt: False ), Client id: 3]"
697,6_71,Real,67.77454306335326,"[1.2439003461579872, 0.8285425291775972, 1.6401930950727244, 0.20634550247893751, 0]","[Client id: 6, ( id: 3, corrupt: False ), ( id: 74, corrupt: False ), ( id: 135, corrupt: False ), Client id: 9]"
698,4_75,Real,67.91276084526065,"[0.6961771355840856, 0.04655691094297329, 0.23306523658457098, 0.029970536614908665, 0]","[Client id: 4, ( id: 3, corrupt: False ), ( id: 89, corrupt: False ), ( id: 126, corrupt: False ), Client id: 2]"
699,1_72,Real,67.96854153421125,"[0.22118311887447714, 0.12408736160908232, 0.06482232330582689, 0.32144116250352006, 0]","[Client id: 1, ( id: 26, corrupt: False ), ( id: 75, corrupt: False ), ( id: 113, corrupt: False ), Client id: 6]"
700,9_60,Real,68.01274259133076,"[0.3079911364766552, 0.033969999366023795, 0.08118557800370808, 0.36862664717938165, 0]","[Client id: 9, ( id: 11, corrupt: False ), ( id: 72, corrupt: False ), ( id: 120, corrupt: False ), Client id: 5]"
701,5_83,Real,68.05743767060092,"[3.8694696516537204, 1.0522204410580926, 1.1850806604176378, 0.2162879408120121, 0]","[Client id: 5, ( id: 15, corrupt: False ), ( id: 74, corrupt: False ), ( id: 125, corrupt: False ), Client id: 9]"
702,2_62,Real,68.11655076937545,"[0.4157640615808341, 0.022453200527149355, 0.0010725167305427336, 0.6154464279235463, 0]","[Client id: 2, ( id: 7, corrupt: False ), ( id: 97, corrupt: False ), ( id: 122, corrupt: False ), Client id: 8]"
703,5_84,Real,68.17057390941149,"[0.11313623881057391, 0.22997888111720408, 0.7071488729426081, 0.4833162550476018, 0]","[Client id: 5, ( id: 33, corrupt: False ), ( id: 69, corrupt: False ), ( id: 133, corrupt: False ), Client id: 4]"
704,9_61,Real,68.27716512519831,"[0.2644225338675408, 0.20745014749145577, 0.4413565043544072, 0.5027129503876034, 0]","[Client id: 9, ( id: 27, corrupt: False ), ( id: 81, corrupt: False ), ( id: 133, corrupt: False ), Client id: 5]"
705,6_72,Real,68.29340443419204,"[0.5188613708387813, 0.17339125137160982, 0.031701418525591316, 0.6535308840125628, 0]","[Client id: 6, ( id: 37, corrupt: False ), ( id: 69, corrupt: False ), ( id: 106, corrupt: False ), Client id: 8]"
